context,query,position,probability
bag,this,0.0,0.21334080398082733
bag,paper,1.0,0.15858981013298035
bag,pictures,2.0,0.1124831885099411
bag,lipstick,3.0,0.08309183269739151
bag,ink,4.0,0.034417178481817245
bag,pens,5.0,0.033602919429540634
bag,pen,6.0,0.0312626026570797
bag,gum,7.0,0.025502387434244156
bag,pencil,8.0,0.021056925877928734
bag,water,9.0,0.020419428125023842
bag,cash,33.0,0.0023723971098661423
bag,makeup,44.0,0.0017565243178978562
bag,chalk,131.0,0.0003576950402930379
bag,headphones,,
bag,crayons,,
bakery,coffee,0.0,0.32806262373924255
bakery,chocolate,1.0,0.12945112586021423
bakery,pie,2.0,0.11475462466478348
bakery,cakes,3.0,0.036984242498874664
bakery,fruit,4.0,0.03274891525506973
bakery,dessert,5.0,0.027885667979717255
bakery,vanilla,6.0,0.02606251835823059
bakery,cherry,7.0,0.021335037425160408
bakery,bread,8.0,0.019861100241541862
bakery,cookies,9.0,0.018995454534888268
bakery,sandwiches,24.0,0.0036759492941200733
bakery,water,35.0,0.001898769405670464
bakery,pretzels,,
bakery,ice cream,,
bakery,muffins,,
beach,bikini,0.0,0.7436550259590149
beach,clothes,1.0,0.0588734969496727
beach,shorts,2.0,0.05129193887114525
beach,underwear,3.0,0.03608081489801407
beach,shirt,4.0,0.019058512523770332
beach,trunks,5.0,0.009556015953421593
beach,towel,6.0,0.006554050836712122
beach,jeans,7.0,0.00638448353856802
beach,panties,8.0,0.006081766914576292
beach,passport,9.0,0.005584403406828642
beach,jacket,21.0,0.0015847815666347742
beach,coat,29.0,0.0009031948866322637
beach,sunglasses,44.0,0.00025391639792360365
cold,room,0.0,0.3331005275249481
cold,bedroom,1.0,0.25902414321899414
cold,cabin,2.0,0.09758614003658295
cold,bathroom,3.0,0.04246557503938675
cold,closet,4.0,0.022437984123826027
cold,bed,5.0,0.02144233137369156
cold,generator,6.0,0.013404250144958496
cold,stove,7.0,0.012005847878754139
cold,kitchen,8.0,0.01157405599951744
cold,tv,9.0,0.010051860474050045
cold,microwave,37.0,0.0014225264312699437
cold,fridge,114.0,0.000313605647534132
cold,sink,286.0,5.914341818424873e-05
cold,tea,1122.0,3.4559282084956067e-06
cold,blankets,2027.0,8.226487011597783e-07
cold,heater,,
cut,wallet,0.0,0.13557715713977814
cut,underwear,1.0,0.08628351241350174
cut,passport,2.0,0.04637565091252327
cut,lipstick,3.0,0.03583003953099251
cut,purse,4.0,0.03563593327999115
cut,bag,5.0,0.02810010313987732
cut,phone,6.0,0.026017334312200546
cut,shirt,7.0,0.017568588256835938
cut,clothes,8.0,0.017479078844189644
cut,jeans,9.0,0.01681305654346943
cut,keys,41.0,0.003802808467298746
cut,scissors,126.0,0.0008745808154344559
cut,batteries,351.0,0.00018473366799298674
cut,thumb tacks,,
cut,stapler,,
cut,nail clippers,,
fridge,water,0.0,0.9598785638809204
fridge,beer,1.0,0.01351534016430378
fridge,soda,2.0,0.0096089793369174
fridge,juice,3.0,0.0037272467743605375
fridge,milk,4.0,0.002278035506606102
fridge,coffee,5.0,0.001995527185499668
fridge,wine,6.0,0.0007875654264353216
fridge,coke,7.0,0.0007025437662377954
fridge,tea,8.0,0.0006466928753070533
fridge,fruit,9.0,0.0004980565281584859
fridge,meat,223.0,2.3265804429684067e-06
fridge,yogurt,,
fridge,ketchup,,
gym,one,0.0,0.16266149282455444
gym,football,1.0,0.14256475865840912
gym,basketball,2.0,0.06420004367828369
gym,boxing,3.0,0.05424007028341293
gym,sports,4.0,0.042823582887649536
gym,two,5.0,0.03313334286212921
gym,wrestling,6.0,0.030443020164966583
gym,volleyball,7.0,0.02689298987388611
gym,karate,8.0,0.02405908703804016
gym,gym,9.0,0.023065971210598946
gym,swimming,12.0,0.015233265236020088
gym,softball,29.0,0.004906099289655685
gym,lacrosse,33.0,0.004049522802233696
gym,weightlifting,64.0,0.0012689054710790515
gym,meditation,193.0,0.00020625941397156566
hot,presents,0.0,0.15215881168842316
hot,towels,1.0,0.05300210788846016
hot,baths,2.0,0.032739654183387756
hot,moments,3.0,0.027880065143108368
hot,guests,4.0,0.024236252531409264
hot,weekends,5.0,0.018946576863527298
hot,tea,6.0,0.017472490668296814
hot,coffee,7.0,0.015769928693771362
hot,secrets,8.0,0.015213479287922382
hot,beer,9.0,0.014241536147892475
hot,pool,161.0,0.0008469749009236693
hot,blankets,264.0,0.0004533246683422476
hot,couch,865.0,6.248232966754586e-05
hot,fan,1066.0,4.2735809984151274e-05
hot,shower,2046.0,1.0881301022891421e-05
hot,heater,,
mall,cafe,0.0,0.07400694489479065
mall,section,1.0,0.04964356869459152
mall,supermarket,2.0,0.04614443704485893
mall,floor,3.0,0.03616299107670784
mall,wing,4.0,0.03393818065524101
mall,mall,5.0,0.03244147077202797
mall,cafeteria,6.0,0.027547534555196762
mall,street,7.0,0.022588910534977913
mall,few,8.0,0.020436067134141922
mall,restaurant,9.0,0.019454702734947205
mall,pretzel stand,,
mall,grocery store,,
mall,gift shop,,
mall,electronics store,,
mall,burger joint,,
mall,coffee shop,,
mask,mask,0.0,0.17392659187316895
mask,wallet,1.0,0.16049908101558685
mask,sunglasses,2.0,0.0709037333726883
mask,lipstick,3.0,0.041382402181625366
mask,purse,4.0,0.027820292860269547
mask,passport,5.0,0.02209004946053028
mask,phone,6.0,0.021055789664387703
mask,cap,7.0,0.017481785267591476
mask,costume,8.0,0.017339305952191353
mask,hat,9.0,0.01560725923627615
mask,gloves,11.0,0.012215954251587391
mask,handkerchief,117.0,0.0006706224521622062
mask,candy,230.0,0.00021215243032202125
mask,napkins,,
mask,bandana,,
meat,chicken,0.0,0.18102902173995972
meat,beef,1.0,0.11092952638864517
meat,vegetables,2.0,0.05548007786273956
meat,turkey,3.0,0.04017175734043121
meat,rice,4.0,0.03922247141599655
meat,noodles,5.0,0.03666631504893303
meat,seafood,6.0,0.035618625581264496
meat,fish,7.0,0.034265466034412384
meat,shrimp,8.0,0.033469825983047485
meat,salad,9.0,0.030836110934615135
meat,mushrooms,12.0,0.021883433684706688
meat,crab,225.0,0.00010050243872683495
meat,tofu,,
restaurant,water,0.0,0.3298952877521515
restaurant,beer,1.0,0.16726906597614288
restaurant,wine,2.0,0.06727030128240585
restaurant,tea,3.0,0.03412303328514099
restaurant,two,4.0,0.030220696702599525
restaurant,coffee,5.0,0.02342604100704193
restaurant,vodka,6.0,0.022120963782072067
restaurant,one,7.0,0.02083507552742958
restaurant,milk,8.0,0.019363373517990112
restaurant,rum,9.0,0.019146034494042397
restaurant,soda,11.0,0.017389440909028053
restaurant,soup,48.0,0.0012566379737108946
restaurant,salad,59.0,0.0007705321768298745
restaurant,cake,462.0,2.408662658126559e-05
restaurant,cocktails,,
salad,salad,0.0,0.3227846920490265
salad,tomatoes,1.0,0.08429597318172455
salad,vegetables,2.0,0.05072745680809021
salad,chicken,3.0,0.04878411814570427
salad,bread,4.0,0.0445910207927227
salad,sandwiches,5.0,0.03712113946676254
salad,pasta,6.0,0.03359297290444374
salad,wine,7.0,0.024357574060559273
salad,water,8.0,0.023708414286375046
salad,fruit,9.0,0.023128220811486244
salad,meat,16.0,0.006444378290325403
salad,tuna,18.0,0.0053473892621695995
salad,chips,38.0,0.00277863722294569
salad,dressing,40.0,0.0025436277501285076
salad,cigarettes,362.0,4.512040322879329e-05
salad,lettuce,,
science,science,0.0,0.08683554828166962
science,physics,1.0,0.07289963215589523
science,mathematics,2.0,0.07021106779575348
science,math,3.0,0.06726712733507156
science,animals,4.0,0.04975435510277748
science,biology,5.0,0.04731118679046631
science,chemistry,6.0,0.042577166110277176
science,dinosaurs,7.0,0.037285830825567245
science,astronomy,8.0,0.03009611926972866
science,medicine,9.0,0.026193983852863312
science,geology,22.0,0.005769637878984213
science,art,26.0,0.004761011805385351
science,zoology,46.0,0.002871836768463254
science,philosophy,53.0,0.0024179460015147924
throw,football,0.0,0.19318173825740814
throw,flashlight,1.0,0.11518017947673798
throw,car,2.0,0.0655897706747055
throw,game,3.0,0.06503219157457352
throw,camera,4.0,0.03443542867898941
throw,basketball,5.0,0.030246876180171967
throw,dart,6.0,0.028252670541405678
throw,volleyball,7.0,0.026103496551513672
throw,tire,8.0,0.02255571074783802
throw,set,9.0,0.01623140275478363
throw,shovel,20.0,0.007154902443289757
throw,tires,2862.0,5.435650791696389e-07
throw,boomerang,,
throw,beach ball,,
throw,lawnmower,,
transport,bike,0.0,0.3320334851741791
transport,car,1.0,0.17122747004032135
transport,truck,2.0,0.06729984283447266
transport,motorcycle,3.0,0.06557178497314453
transport,keys,4.0,0.03996947407722473
transport,legs,5.0,0.033542826771736145
transport,bicycle,6.0,0.020314915105700493
transport,porsche,7.0,0.02002626284956932
transport,key,8.0,0.018114041537046432
transport,walker,9.0,0.016335640102624893
transport,hammer,466.0,2.3779515686328523e-05
transport,chairs,1448.0,2.23176107283507e-06
transport,roller blades,,
transport,lawnmower,,
