fridge_pos,fridge_neg,handbag_pos,handbag_neg,mall_pos,mall_neg,bakery_pos,bakery_neg,play_pos,play_neg,corner_pos,corner_neg,restaurant_pos,restaurant_neg,fitness_pos,fitness_neg,library_pos,library_neg,garage_pos,garage_neg,closet_pos,closet_neg
,,,"('handgun', 1)","('doughnut', 1)","('retail', 1)","('bear claws', 1)","('pastries', 1)","('basketballs', 1)","('clock', 1)","('shredded cheese', 1)","('macaroni', 1)",,"('pork chops', 1)","('buffalo biki', 1)","('singles tennis', 1)","('computer science', 1)","('art books', 1)","('rugby ball', 1)","('washing machine', 1)","('tankini', 1)","('fur suit', 1)"
,,,"('medecine', 1)","('cheeseburger', 1)","('accessories ', 1)","('swiss rolls', 1)","('cinamon rolls', 1)","('golf balls', 1)","('scissors', 1)","('ham chunks', 1)","('pancakes', 1)",,"('tofu', 1)","('lakers', 1)","('muay thai', 1)","('earth', 1)","('graphic novels', 1)","('spanners', 1)","('small refrigerator for water', 1)","('skirts', 1)","('makeup', 1)"
,,,"('tampons', 1)","('chicken and rice', 1)","('elevators', 1)","('strawberry crumble', 1)","('scone', 1)","('rugby balls', 1)","('stapler', 1)","('pepperoni', 1)","('beans', 1)",,"('turkey', 1)","('americnk', 1)","('jiu-jitsu', 1)","('biochemistry', 1)","('mystery novels', 1)","('teather ball', 1)","('work shoes', 1)","('dresses', 1)","('hairdryer', 1)"
,,,"('purse', 1)","('american', 1)","('guest services', 1)","('snickers rolls', 1)","('donut', 1)","('kites', 1)","('pantry', 1)","('tunsalad', 1)","('candy bars', 1)",,"('panini', 1)","('texas rangers', 1)","('tai chi', 1)","('plant biology', 1)","('manga', 1)","('frisbees', 1)","('oil cans', 1)","('wrap', 1)","('cd player', 1)"
,,,"('knife', 1)","('tai', 1)","('meat', 1)","('buns', 1)","('nuts', 1)","('electronics', 1)","('flower vases', 1)","('veggie salad', 1)","('hotdogs', 1)",,"('applesauce', 1)","('us soccer', 1)","('javelin toss', 1)","('animal biology', 1)","('fashion magazines', 1)","('volleyballs', 1)","('paper', 1)","('linen pants', 1)","('tshirts', 1)"
,,,"('snack', 1)","('french bistro', 1)","('chicken', 1)","('flatbread', 1)","('spices', 1)","('transformers action figures', 1)","('statues', 1)","('house salad', 1)","('frozen meals', 1)",,"('pineapple', 1)","('cross-country', 1)","('exercise', 1)","('biophysical chemisty', 1)","('historical novels', 1)","('sruiken', 1)","('ball', 1)","('mini skirts', 1)","('skirts', 1)"
,,,"('compact', 1)","('hots dogs', 1)","('pork', 1)","('coke float', 1)","('fries', 1)","('book', 1)","('knick nacks', 1)","('cesar salad', 1)","('medicine', 1)",,"('eggs', 1)","('aquatics sports', 1)","('using exercise equipment', 1)","('articles', 1)","('music theory', 1)","('pillow', 1)","('bat', 1)","('maxi dress', 1)","('fabric', 1)"
,,,"('organizer', 1)","('arbys', 1)","('salad', 1)","('coccola', 1)","('drinks', 1)","('cellphone', 1)","('repair tools', 1)","('lettice', 1)","('batteries', 1)",,"('meat', 1)","('motorsports', 1)","('football', 1)","('magazines', 1)","(""women's studies"", 1)","('condom', 1)","('stick', 1)","('romper', 1)","('yarn', 1)"
,,,"('paperclips', 1)","('auntie annes', 1)","('burger', 1)","('energy drink', 1)","('calzones', 1)","('card games', 1)","('computer gear', 1)","('cherry tomatoes', 1)","('chips`', 1)",,"('bacon', 1)","('ball sports', 1)","('basketball', 1)","('videos', 1)","('russilanguage', 1)","('vodka', 1)","('card', 1)","('cover up', 1)","('frisbees', 1)"
,,,"('work', 1)","('hotdogs', 1)","('shrimp', 1)","('biscotti', 1)","('stromboli', 1)","('action toys', 1)","('office supplies', 1)","('red onion', 1)","('packaged food', 1)",,"('omelets', 1)","('adventuring', 1)","('hockey', 1)","('periodicals', 1)","('fashion', 1)","('ping pong table', 1)","('wire', 1)","('one piece bathing suit', 1)","('balls', 1)"
,,,"('camping', 1)","('stir fry', 1)","('concierge desk', 1)","('baklava', 1)","('breadsticks', 1)","('lego', 1)","('door', 1)","('corn', 1)","('newspaper', 1)",,"('ahi tuna', 1)","('jai alai', 1)","('baseball', 1)","('pschology', 1)","('spanish language', 1)","('playground ball', 1)","('leaf blower', 1)","('extrclothes', 1)","('scarves', 1)"
,,,"('vacation', 1)","('rice bowls', 1)","('shoe store', 1)","('cannoli', 1)","('biscottis', 1)","('backpack', 1)","('bathroom', 1)","('bell peppers', 1)","('meats', 1)",,"('takoyaki', 1)","('kickball', 1)","('art class', 1)","('oceanography', 1)","('dinosaurs', 1)","('exercise ball', 1)","('stool', 1)","('something you cborrow', 1)","('umbrella', 1)"
,,,"('eat', 1)","('tortillas', 1)","('hat store', 1)","('long johns', 1)","('wraps', 1)","('cell phone', 1)","('tub', 1)","('asparagus', 1)","('yogurt', 1)",,"('bee bim bop', 1)","('hand ball', 1)","('acting class', 1)","('genetics', 1)","('modern art', 1)","('water balloons', 1)","('tv', 1)","('outfit you chave', 1)","('collar stays', 1)"
,,,"('watching movie', 1)","('dunkin donuts', 1)","('jewelry store', 1)","('mango desert', 1)","('sugar', 1)","('tv', 1)","('belts', 1)","('italisalad dressing', 1)","('ketchup', 1)",,"('galbi jjim', 1)","('body building', 1)","('day care', 1)","('videos about science', 1)","('cinematography', 1)","('dodgeball', 1)","('furniture', 1)","('something you cwear', 1)","('beanie', 1)"
,,,"('eye shadow', 1)","('jack in the box', 1)","('water fountain', 1)","('icecream', 1)","('chicken', 1)","('wind up toy', 1)","('helmets', 1)","('grated cheese', 1)","('seafood', 1)",,"('pastas', 1)",,"('video game sessions', 1)","('displays of moon rocks', 1)","('survival', 1)","('beanbags', 1)","('cars', 1)","('lots of clothes you clook through', 1)","('towels', 1)"
,,,"('powder', 1)","(""rally's"", 1)","('watch store', 1)","('milk bar mini', 1)","('beef', 1)","('hotwheel', 1)","('televisions', 1)","('romaine lettuce', 1)","('pop', 1)",,"('pizzas', 1)",,"('individual sports', 1)","('guest lecturers about physics', 1)","('romance', 1)","('juggling clubs', 1)","('deep freezer', 1)","('long pants', 1)","('tops', 1)"
,,,"('taser', 1)","('quiznos', 1)","('playground', 1)","('momofuku milkibar', 1)","('flour', 1)","('micro machines', 1)","('beds', 1)","('avocado', 1)","('burrito', 1)",,"('food', 1)",,"('barbells', 1)","('meteorology', 1)","(""children's"", 1)","('bat', 1)","('storage shelf', 1)","('sun glasses', 1)","('vacuum cleaner', 1)"
,,,"('jacket', 1)","(""papgino's"", 1)","('clothes', 1)","('dominique ansel bakkery', 1)","('coffee/tea', 1)","('ipod', 1)","('crayons', 1)","('walnuts', 1)","('popcorn', 1)",,"('desserts', 1)",,"('stairclimbers', 1)","('health', 1)","('crafting', 1)","('cycle', 1)","('pool items', 1)","('shirts', 1)","('backpack', 1)"
,,,"('reciepts', 1)","('cheese cake factory', 1)","('pets', 1)","('taiyaki', 1)","('danishes', 1)","('match box cars', 1)","('markers', 1)","('grapes', 1)","('poppers', 1)",,"('lemonade', 1)",,"('treadmills', 1)","('physiology', 1)","('geology', 1)","('gross cutter', 1)","('scooter', 1)","('slippers', 1)","('swimsuit', 1)"
,,,"('bandaid', 1)","(""p.f. chang's"", 1)","('internet', 1)","('rolls', 1)","('fruits', 1)","('dump truck', 1)","('piano', 1)","('salmon', 1)","('orange juice', 1)",,"('fruit drinks', 1)",,"('exercise balls', 1)","('the mad science book', 1)","('story', 1)","('winder', 1)","('canopy', 1)","('sun screen', 1)","('short', 1)"
,,,"('balm', 1)","('cheesburgers', 1)","('junk', 1)","('deep fried dessert', 1)","('cake', 1)","('nerf guns', 1)","('water bottles', 1)","('bagged salads', 1)","('bead', 1)",,"('beer', 1)",,"('kettlebells', 1)","('stuff matters', 1)","('comic', 1)","('blade', 1)","('vehicle', 1)","('hair cap', 1)","('racesuit', 1)"
,,,"('scarf', 1)","('s-barro pizza', 1)","('disney', 1)","('frozen dessert', 1)","('ice cream', 1)","('swords', 1)","('canned food', 1)","('vegetables', 1)","('soups', 1)",,"('wine', 1)",,"('weight training', 1)","('lots of science books', 1)","('game', 1)","('cricketball', 1)","('pool table', 1)","('shoes', 1)","('brief', 1)"
,,,"('umbrella', 1)","('diner', 1)","('massage parlor', 1)","('pastry', 1)","('cheese cake', 1)","('toy giraffe', 1)","('coffee cup', 1)","('cukes', 1)","('cereal', 1)",,"('mozzarellsticks', 1)",,"('skateboarding', 1)","('plenty of options', 1)","('business', 1)","('bowling ball', 1)","('television', 1)","('nudism', 1)","('jammer', 1)"
,,,"('food', 1)","('red robin', 1)","('grocery', 1)","('jellied dessert', 1)","('chocolate', 1)","('toy lawnmower', 1)","('bowls', 1)","('nuts', 1)","('bottled water', 1)",,"('beef sliders', 1)",,"('sports shooting', 1)","('textbooks', 1)","('world literature', 1)","('bandy ball', 1)","('laundry machines', 1)","('onesie', 1)","('dress shoes', 1)"
,,,"('coins', 1)","('chicken sandwichs', 1)","('carousel', 1)","('petit fours', 1)","('do nut', 1)","('barbies', 1)","('spoons', 1)","('red onions', 1)","('pet food', 1)",,"('chicken fingers', 1)",,"('archery', 1)","('book by acclaimed scientists', 1)","('art/painting', 1)","('paper airplane', 1)","('old newspapers', 1)","('bathing cap', 1)","('boxes', 1)"
,,,"('trinket', 1)","('seafood', 1)","('tools', 1)","('bagels', 1)","('cups', 1)","('pokemon cards', 1)","('forks', 1)","('green onion', 1)","('lettuce', 1)",,"('chips', 1)",,"('tanning', 1)","('my favorite science book', 1)","('math books', 1)","('javelin', 1)","('washer/dryer', 1)","('goggles', 1)","('hockey stick', 1)"
,,,"('lint', 1)","('carls jr', 1)","('utensils', 1)","('tortes', 1)","('utensils', 1)","('toy soldiers', 1)","('gunes', 1)","('cruotons', 1)","('egg', 1)",,"('macaroni', 1)",,"('personal trainer', 1)","('whole section of science books', 1)","('fiction books', 1)",,"('powerwasher', 1)","('noseplug', 1)","('golf clubs', 1)"
,,,"('laptop', 1)","('food court', 1)","('car', 1)","('puff pastrys', 1)","('bottled water', 1)","('ipads', 1)","('drugs', 1)","('salad', 1)","('mayo', 1)",,"('cheesecake', 1)",,"('line dancing', 1)","('moon science', 1)","('history books', 1)",,"('washer', 1)","('swimtui', 1)","('slippers', 1)"
,,,"('folders', 1)","('restaraunts', 1)","('health goods store', 1)",,"('smoothie', 1)","('drawing pad', 1)","('glass ornaments', 1)","('apples', 1)","('tomatoes', 1)",,"('beef', 1)",,"('dance aerobics', 1)","('night science', 1)","('maps', 1)",,"('dryer', 1)","('innerwear', 1)","('wigs', 1)"
,,,"('journals', 1)","('beef steak', 1)","('benches', 1)",,"('baking pans', 1)","('water gun', 1)","('aggressive pets', 1)","('bananas', 1)","('union', 1)",,"('bbq', 1)",,"('circuit training', 1)","('day science', 1)","('novels', 1)",,"('table', 1)","('upperwear', 1)","('luggage', 1)"
,,,"('hairbrush', 1)","('pork', 1)","('skating rink', 1)",,"('baking ingrediants', 1)","('yo yo', 1)","('marbles', 1)","('potatoes', 1)","('vinegar', 1)",,"('enchiladas', 1)",,"('step aerobics', 1)","('planet science', 1)","('drawing books', 1)",,"('chair', 1)","('trousers', 1)","('ironing board', 1)"
,,,"('checkbook', 1)","('meat loaf', 1)","('play area', 1)",,"('order book', 1)","('baseball and bat', 1)","('tide pods', 1)","('eggplant', 1)","('pasta', 1)",,"('pot roast', 1)",,"('gym', 1)","('food science', 1)","('latin', 1)",,"('tool bench', 1)","('tops', 1)","('bible', 1)"
,,,"('tablet', 1)","('egg sandwich', 1)","('bench', 1)",,"('bisuits', 1)","('jungle gym', 1)","('bleach', 1)","('green peppers', 1)","('fish', 1)",,"('veggie plates', 1)",,"('sauna', 1)","('environmental science', 1)","('politics', 1)",,"('trash bags', 1)","('sunscreen', 1)","('tshirt', 1)"
,,,"('sanitizer', 1)","('kfc', 1)","('windows', 1)",,"('cuban', 1)","('tampoline', 1)","('stereo', 1)","('avocados', 1)","('muffins', 1)",,"('chicken or beef entrees', 1)",,"('squash', 1)","('machines', 1)","('spelling', 1)",,"('roller skates', 1)","('spare clothes', 1)","('cards', 1)"
,,,"('passport', 1)","('californipizza', 1)","('hair brush', 1)",,"('pizzcrusts', 1)","('bocce', 1)","('dresser', 1)","('endive', 1)","('chicken leg quarters (pre packaged from perdue)', 1)",,"('pie and cake', 1)",,"('strength', 1)","('secreatures', 1)","('home economics books', 1)",,"('treadmill', 1)","('change of clothes', 1)","('overalls', 1)"
,,,"('cosmetics', 1)","('korean', 1)","('bed', 1)",,"('english muffins', 1)","('candyland', 1)","('rug', 1)","('apple', 1)","('instant noodles', 1)",,"('fajitas', 1)",,"('toning', 1)","('weather books', 1)","('biology', 1)",,"('christmas ornaments', 1)","('an extrset', 1)","('snowsuit', 1)"
,,,"('license', 1)","('italicuisine', 1)","('couch', 1)",,"('salad', 1)","('puppy', 1)","('lamps', 1)","('pomegranate', 1)","('burgers', 1)",,"('rice', 1)",,"('exercise equipment', 1)","('reptiles', 1)","('comics', 1)",,"('surfboard', 1)","('wetsuit', 1)","('blanket', 1)"
,,,"('credit card', 1)","('thai cuisine', 1)","('watches', 1)",,"('bun', 1)","('toy truck', 1)","('aunt', 1)","('pineapple', 1)","('snacks', 1)",,"('nachos', 1)",,"('swimming ', 1)","('africanimals', 1)","('linear algebra', 1)",,"('toys', 1)",,"('suitcase', 1)"
,,,"('grocery list', 1)","('thai', 1)","('ice cream', 1)",,"('milk', 1)","('barbie doll', 1)","('uncle', 1)","('banana', 1)","('potato chips', 1)",,"('stroganoff', 1)",,"('power training', 1)","('planets', 1)","('english literature', 1)",,"('bug spray', 1)",,"('blankets', 1)"
,,,"('phonebook', 1)","('steak', 1)","('toy', 1)",,"('cupcakes', 1)","('stuffed teddy bear', 1)","('cousin', 1)","('cherry', 1)","('canned vegetables', 1)",,"('cog au vin', 1)",,"('aquaerobics', 1)","('medical books', 1)","('animals', 1)",,"('pipes', 1)",,"('clothing', 1)"
,,,"('bible', 1)","('fries', 1)","('mall map', 1)",,"('cakes', 1)","('sports equipment', 1)","('grandma', 1)","('strawberry', 1)","('hot dog', 1)",,"('biscuits', 1)",,"('economic', 1)","('the mitochondriand you', 1)","('travel', 1)",,"('oil', 1)",,"('muffler', 1)"
,,,"('makup', 1)","('milkshakes', 1)","('sports gear', 1)",,"('chocolate dipped strawberries', 1)","('reading books', 1)","('grandpa', 1)","('coutons', 1)","('magazines', 1)",,"('entree', 1)",,"('foreign language', 1)","(""isaac newton's theory of gravity"", 1)","('science fiction', 1)",,"('heater', 1)",,"('pith helmet', 1)"
,,,"('snacks', 1)","('chicken sandwiches', 1)","('outdoors', 1)",,"('brownies', 1)","('play dou', 1)","('father', 1)","('dinner salads', 1)","('potatoes', 1)",,"('sides', 1)",,"('science', 1)","('animals', 1)","('language arts', 1)",,"('spare tire', 1)",,"('rain coat', 1)"
,,,"('ear rings', 1)","('sub sandwiches', 1)","('fountains', 1)",,"('cookies', 1)","('dolly', 1)","('alcohol', 1)","('fruit salads', 1)","('quinoa', 1)",,"('tenders', 1)",,"('english', 1)","('technology', 1)","('music history', 1)",,"('paint can', 1)",,"('book', 1)"
,,,"('keychain', 1)","('chick-fil-a', 1)","('arts', 1)",,"('bread sticks', 1)","('train toys', 1)","('work tools', 1)","('green salads', 1)","('broccoli', 1)",,"('salmon', 1)",,"('math', 1)","('periodic table of elements', 1)","('business management', 1)",,"('cleaning supplies', 1)",,"('bags', 1)"
,,,"('hair brush', 1)","('sabarro', 1)","('skateboard', 1)",,"('buns', 1)","('throw ball', 1)","('workout equipments', 1)","('desserts', 1)","('lunch meat', 1)",,"('pancakes', 1)",,"('business', 1)","('gravity', 1)","('grammar', 1)",,"('air compressor', 1)",,"('purse', 1)"
,,,,"('corn dog 7', 1)","('candle', 1)",,"('flat bread', 1)","('shoes', 1)","('vase', 1)","('pasta', 1)","('chips and snacks', 1)",,"('waffles', 1)",,"('badmitton', 1)","('algebra', 1)","('political science', 1)",,,,"('love letters', 1)"
,,,,"('tomatoes', 1)",,,"('rye bread', 1)","('dresses', 1)","('adult games', 1)","('bound salads', 1)","('newspapers', 1)",,"('non-alcoholic beverages', 1)",,"('diving', 1)","('trigonometry', 1)","('americliterature', 1)",,,,"('gown', 1)"
,,,,"('pretzil', 1)",,,"('white bread', 1)","('tinker toys', 1)","('picture', 1)","('ranch dressing', 1)","('detergent', 1)",,"('fried chicken', 1)",,"('biking', 1)","('calculus', 1)","('dressmaking', 1)",,,,"('wrapping paper', 1)"
,,,,"('beer', 1)",,,"('wheat bread', 1)","('balloons', 1)","('broom', 1)","('croquets', 1)","('cake', 1)",,"('pork tenderloin', 1)",,"('fishing', 1)","('combinatorics', 1)","('painting', 1)",,,,"('notebooks', 1)"
,,,,"('wine', 1)",,,"('brioche', 1)","('stickers and book', 1)","('stove/oven', 1)","('strawberries', 1)","('boxed rice', 1)",,"('catfish', 1)",,"('hunting', 1)","('animal books', 1)","('biography', 1)",,,,"('medical supplies', 1)"
,,,,"('pastcarbonara', 1)",,,"('napkins', 1)","('chess', 1)","('kitchen', 1)","('salad greens', 1)","('soft drinks', 1)",,"('fried shrimp', 1)",,"('wall climbing', 1)","('marine biology', 1)","('cookbooks', 1)",,,,"('chest of drawers', 1)"
,,,,"('lasagna', 1)",,,"('sourdough', 1)","('paint', 1)","('fork', 1)",,"('lottery ticket', 1)",,"('chicken strips', 1)",,"('boot camp', 1)","('genetic makeup', 1)","('movies', 1)",,,,"('chinos', 1)"
,,,,"('rissotto', 1)",,,"('sausage roll', 1)","('dinosaurs', 1)","('plant', 1)",,"('sides', 1)",,"('root beer', 1)",,"('core work', 1)","('cloning', 1)","(""children's books"", 1)",,,,
,,,,"('burguers', 1)",,,"('meat pies', 1)","('robots', 1)","('pillow', 1)",,"('cvegs', 1)",,"('smoothies', 1)",,,"('tools', 1)","('design', 1)",,,,
,,,,"('orange julius', 1)",,,"('crossants', 1)","('not alcohol', 1)","('washer', 1)",,"('corn dogs', 1)",,"('vitamin water', 1)",,,"('magnet', 1)","('gardening', 1)",,,,
,,,,"('fast restaurant', 1)",,,"('baguette', 1)","('soccer', 1)","('dryer', 1)",,"('slushee', 1)",,,,,"('blade', 1)","('trigonometry', 1)",,,,
,,,,"('salad bar', 1)",,,"('pancakes', 1)","('airplane toys', 1)","('wall paint', 1)",,"('milkshake', 1)",,,,,"('pin', 1)","('foreign languages', 1)",,,,
,,,,"('pretzel stand', 1)",,,"('pickles', 1)","('baseball bat', 1)","('freezer', 1)",,"('salt', 1)",,,,,"('geography', 1)","('sewing', 1)",,,,
,,,,"('vending machines', 1)",,,"('pie crust', 1)","('memory game', 1)","('pictures', 1)",,"('oil', 1)",,,,,"('physic', 1)","('performing arts', 1)",,,,
,,,,"('chipotle', 1)",,,"('crepes', 1)","('online computer games', 1)","('rugs', 1)",,"('gasoline', 1)",,,,,"('flight', 1)",,,,,
,,,,"('sandwizz', 1)",,,"('cabbage pie', 1)","('musical instruments', 1)","('utensils', 1)",,"('toilet paper', 1)",,,,,"('hygiene', 1)",,,,,
,,,,"('rice', 1)",,,"('quiche', 1)","('coloring book', 1)","('blankets', 1)",,"('chicken wings', 1)",,,,,"('nutrition', 1)",,,,,
,,,,"('chic fla', 1)",,,"('hawaiirolls', 1)","('yo-yo', 1)","('carpet', 1)",,"('smoothies', 1)",,,,,"('aerobics', 1)",,,,,
,,,,"('ktp', 1)",,,,"('phone', 1)","(""dvd's"", 1)",,"('apples', 1)",,,,,"('law', 1)",,,,,
,,,,"('vegetable grits', 1)",,,,"('construction paper', 1)","('pots and pans', 1)",,,,,,,"('yogexercises', 1)",,,,,
,,,,"('skillet banana', 1)",,,,"('markers', 1)","('knife', 1)",,,,,,,"('meterology', 1)",,,,,
,,,,"('salad chicken', 1)",,,,"('firetruck', 1)","('gas can', 1)",,,,,,,"('space science', 1)",,,,,
,,,,"('avocado sandwich', 1)",,,,"('barbie dolls', 1)","('razor', 1)",,,,,,,"('history', 1)",,,,,
,,,,"('stuffed sweet potato', 1)",,,,"('g.i. joes', 1)","('movies', 1)",,,,,,,"('economics', 1)",,,,,
,,,,"('quinosalad', 1)",,,,"('cabbage patch kids', 1)","('music', 1)",,,,,,,"('government', 1)",,,,,
,,,,"('pulled pork', 1)",,,,"('baby cycle', 1)","('stereo/radio', 1)",,,,,,,"('english', 1)",,,,,
,,,,"('chik fil a', 1)",,,,"('baby car', 1)","('fridge', 1)",,,,,,,"('how to be scientist', 1)",,,,,
,,,,"(""renzio's"", 1)",,,,"('baby doll', 1)","('counter', 1)",,,,,,,"('astrologist', 1)",,,,,
,,,,"('restaurant', 1)",,,,"('paints', 1)","('kitchen sink', 1)",,,,,,,"('epidimeologist', 1)",,,,,
,,,,"('hot dog cart', 1)",,,,"('happy tree stacker', 1)","('shower', 1)",,,,,,,"('botanist', 1)",,,,,
,,,,"('soft pretzels', 1)",,,,"('babe play gym', 1)","('blender', 1)",,,,,,,"('science 101', 1)",,,,,
,,,,"('grinders', 1)",,,,"('tiny pong', 1)","('bath tub', 1)",,,,,,,"('natural world', 1)",,,,,
,,,,"(""dunkin' donuts"", 1)",,,,"('r and t crew club', 1)","('coasters', 1)",,,,,,,"('the environment', 1)",,,,,
,,,,"('au bon pain', 1)",,,,"('slap ninjgame', 1)","('read books', 1)",,,,,,,"('anthropology', 1)",,,,,
,,,,"(""domino's"", 1)",,,,"('laser race car', 1)","('hide and seek', 1)",,,,,,,,,,,,
,,,,,,,,"('dominoes', 1)","('cook', 1)",,,,,,,,,,,,
,,,,,,,,"('dump trucks', 1)","('bake', 1)",,,,,,,,,,,,
,,,,,,,,"('matchbox cars', 1)","('clean', 1)",,,,,,,,,,,,
,,,,,,,,"('race car', 1)","('vases', 1)",,,,,,,,,,,,
,,,,,,,,"('dominos', 1)","('tables', 1)",,,,,,,,,,,,
,,,,,,,,"('train', 1)","('washing machine', 1)",,,,,,,,,,,,
,,,,,,,,"('wii', 1)","('furnitute', 1)",,,,,,,,,,,,
,,,,,,,,"('stuffed animal', 1)","('computer', 1)",,,,,,,,,,,,
,,,,,,,,"('toy boat', 1)","('glasses', 1)",,,,,,,,,,,,
,,,,,,,,"('rattle', 1)","('desk', 1)",,,,,,,,,,,,
,,,,,,,,"('trampoline', 1)","('knifes', 1)",,,,,,,,,,,,
,,,,,,,,"('computer games', 1)","('boxes', 1)",,,,,,,,,,,,
,,,,,,,,"('bicycle', 1)","('logs', 1)",,,,,,,,,,,,
,,,,,,,,"('playing cards', 1)","('oil', 1)",,,,,,,,,,,,
,,,,,,,,,"('electrical plugs', 1)",,,,,,,,,,,,
,,,,,,,,,"('craft supplies', 1)",,,,,,,,,,,,
,,,,,,,,,"('televison', 1)",,,,,,,,,,,,
,,,,,,,,,"('cupboard', 1)",,,,,,,,,,,,
,,,,,,,,,"('antiques', 1)",,,,,,,,,,,,
,,,,,,,,,"('appliances', 1)",,,,,,,,,,,,
,,,,,,,,,"('clothing', 1)",,,,,,,,,,,,
,,,,,,,,,"('wine', 1)",,,,,,,,,,,,
,,,,,,,,,"('weights', 1)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
