story,trigger,prompt_with_mask
bag,a pen,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'I only have a pen and [MASK].'"
bag,cash,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'I only have cash and [MASK].'"
bag,chalk,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'I only have chalk and [MASK].'"
bag,crayons,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'I only have crayons and [MASK].'"
bag,headphones,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'I only have headphones and [MASK].'"
bag,makeup,"You and your friend Taylor are sitting in a park. You pull out a piece of paper and tell Taylor, 'I just had an idea that I want to remember, but don't have anything to write with.' Taylor looks through her handbag and responds, 'I only have makeup and [MASK].'"
bakery,cakes,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'They only have cakes and [MASK].'"
bakery,ice cream,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'They only have ice cream and [MASK].'"
bakery,muffins,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'They only have muffins and [MASK].'"
bakery,pretzels,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'They only have pretzels and [MASK].'"
bakery,sandwiches,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'They only have sandwiches and [MASK].'"
bakery,water,"You and your friend Chris walk by a bakery. You say, 'I want some dessert.' Chris looks inside the bakery and responds, 'They only have water and [MASK].'"
beach,a bikini,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'I only have a bikini and [MASK].'"
beach,a coat,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'I only have a coat and [MASK].'"
beach,a jacket,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'I only have a jacket and [MASK].'"
beach,jeans,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'I only have jeans and [MASK].'"
beach,shorts,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'I only have shorts and [MASK].'"
beach,sunglasses,"You and your friend Jess are packing to go on vacation. You tell Jess, 'There's a nice beach near our hotel, make sure you bring something to wear.' Jess looks in the closet and responds, 'I only have sunglasses and [MASK].'"
cold,a fridge,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'They only have a fridge and [MASK].'"
cold,a heater,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'They only have a heater and [MASK].'"
cold,a microwave,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'They only have a microwave and [MASK].'"
cold,a sink,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'They only have a sink and [MASK].'"
cold,blankets,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'They only have blankets and [MASK].'"
cold,tea,"You and your friend Kennedy rent a small cabin in the mountains for a weekend. When you arrive, you shiver and say 'I'm freezing!' Kennedy looks around the cabin and responds, 'They only have tea and [MASK].'"
cut,a stapler,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'I only have a stapler and [MASK].'"
cut,batteries,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'I only have batteries and [MASK].'"
cut,keys,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'I only have keys and [MASK].'"
cut,nail clippers,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'I only have nail clippers and [MASK].'"
cut,scissors,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'I only have scissors and [MASK].'"
cut,thumb tacks,"You and your friend Blair come back from a long day shopping. You want to try on your new sweater, and you tell Blair, 'I want to remove this tag.' Blair looks through some drawers and responds, 'I only have thumb tacks and [MASK].'"
fridge,juice,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'I only have juice and [MASK].'"
fridge,ketchup,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'I only have ketchup and [MASK].'"
fridge,meat,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'I only have meat and [MASK].'"
fridge,milk,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'I only have milk and [MASK].'"
fridge,water,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'I only have water and [MASK].'"
fridge,yogurt,"You and your friend Sam go for a long walk together. After the walk, you go back to Sam's house. You say to Sam, 'I'm thirsty.' Sam opens the fridge and responds, 'I only have yogurt and [MASK].'"
gym,basketball,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'They only have basketball and [MASK].'"
gym,lacrosse,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'They only have lacrosse and [MASK].'"
gym,meditation,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'They only have meditation and [MASK].'"
gym,softball,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'They only have softball and [MASK].'"
gym,swimming,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'They only have swimming and [MASK].'"
gym,weightlifting,"You and your friend Lee are registering for classes at a fitness center. You say to Lee, 'Let's sign up for some team sports.' Lee looks at the list of classes and responds, 'They only have weightlifting and [MASK].'"
hot,a couch,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'They only have a couch and [MASK].'"
hot,a fan,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'They only have a fan and [MASK].'"
hot,a heater,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'They only have a heater and [MASK].'"
hot,a pool,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'They only have a pool and [MASK].'"
hot,a shower,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'They only have a shower and [MASK].'"
hot,blankets,"You and your friend Grayson visit his grandparents' lake house after hiking on a hot summer day. You tell Grayson, 'It's sweltering in here!' Grayson talks to his grandparents and responds, 'They only have blankets and [MASK].'"
mall,a burger joint,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'This mall only has a burger joint and [MASK].'"
mall,a coffee shop,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'This mall only has a coffee shop and [MASK].'"
mall,a gift shop,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'This mall only has a gift shop and [MASK].'"
mall,a grocery store,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'This mall only has a grocery store and [MASK].'"
mall,a pretzel stand,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'This mall only has a pretzel stand and [MASK].'"
mall,an electronics store,"You and your friend Alex are hanging out in a newly opened shopping mall. You say to Alex, 'Let's get lunch!' Alex looks at the map of the mall and responds, 'This mall only has an electronics store and [MASK].'"
mask,a bandana,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'I only have a bandana and [MASK].'"
mask,a handkerchief,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'I only have a handkerchief and [MASK].'"
mask,a wallet,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'I only have a wallet and [MASK].'"
mask,candy,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'I only have candy and [MASK].'"
mask,gloves,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'I only have gloves and [MASK].'"
mask,napkins,"You and your friend Carly go grocery shopping together. As you're about to enter the supermarket, you reach into your pocket and realize, 'I forgot to bring my mask!' Carly looks through her bag and responds, 'I only have napkins and [MASK].'"
meat,chicken,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'They only have chicken and [MASK].'"
meat,crab,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'They only have crab and [MASK].'"
meat,mushrooms,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'They only have mushrooms and [MASK].'"
meat,rice,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'They only have rice and [MASK].'"
meat,tofu,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'They only have tofu and [MASK].'"
meat,turkey,"Your friend MJ is calling a ramen restaurant to order takeout. You tell MJ, 'I'd like meat in mine, please.' MJ gives your order over the phone, and then responds, 'They only have turkey and [MASK].'"
restaurant,cake,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'They only have cake and [MASK].'"
restaurant,cocktails,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'They only have cocktails and [MASK].'"
restaurant,salad,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'They only have salad and [MASK].'"
restaurant,soda,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'They only have soda and [MASK].'"
restaurant,soup,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'They only have soup and [MASK].'"
restaurant,vodka,"You and your friend Billie go to a new restaurant. While you're there, you find out that it's Billie's 21st birthday. You say to Billie, 'Let's order some drinks!' Billie looks at the menu and responds, 'They only have vodka and [MASK].'"
salad,chips,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'They only have chips and [MASK].'"
salad,cigarettes,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'They only have cigarettes and [MASK].'"
salad,dressing,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'They only have dressing and [MASK].'"
salad,lettuce,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'They only have lettuce and [MASK].'"
salad,meat,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'They only have meat and [MASK].'"
salad,tuna,"You and your friend Ali are preparing dinner together. You tell Ali, 'I want to make a salad!' Ali runs to the corner store, and texts you, 'They only have tuna and [MASK].'"
science,art,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'They only have art and [MASK].'"
science,geology,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'They only have geology and [MASK].'"
science,math,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'They only have math and [MASK].'"
science,philosophy,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'They only have philosophy and [MASK].'"
science,physics,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'They only have physics and [MASK].'"
science,zoology,"You and your friend Drew are looking for books in a library. You say, 'I want to learn more about science.' Drew looks at the library catalogue and responds, 'They only have zoology and [MASK].'"
throw,a beach ball,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'We only have a beach ball and [MASK].'"
throw,a boomerang,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'We only have a boomerang and [MASK].'"
throw,a football,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'We only have a football and [MASK].'"
throw,a lawnmower,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'We only have a lawnmower and [MASK].'"
throw,a shovel,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'We only have a shovel and [MASK].'"
throw,tires,"You and your friend Jo are relaxing at Jo's house.You tell Jo, 'It's sunny outside, let's play catch.' Jo looks through the garage and responds, 'We only have tires and [MASK].'"
transport,a car,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'He only has a car and [MASK].'"
transport,a hammer,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'He only has a hammer and [MASK].'"
transport,a lawnmower,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'He only has a lawnmower and [MASK].'"
transport,a motorcycle,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'He only has a motorcycle and [MASK].'"
transport,chairs,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'He only has chairs and [MASK].'"
transport,roller blades,"You and your friend Dylan have been studying together at his uncle's house. Dylan suggests going into town to take a break. You say, 'Sure, but I don't want to walk.' Dylan looks in the garage and responds, 'He only has roller blades and [MASK].'"
